"CATSFX","SUBSPECIES","AGE","SEX","MASS","WCH","TL","TS","BL","BLH","BLW","SKL"
27914,"maxima","AD","M",45,81,83,28,11.9,7.4,5.6,38.5
27919,"maxima","AD","M",48,83.1,73,29.1,11.8,6.8,6.1,38.9
10188,"maxima","AHY","M",50.2,81.6,81,28.6,12.3,7.9,6.5,38.7
10186,"maxima","AHY","M",44.8,83.9,82.9,28.3,12.6,7.1,6.6,39.2
11175,"maxima","AHY","M",45.4,76.3,75.3,27.2,12.5,7.1,5.8,39.7
11827,"maxima","AD","M",50,81.5,84.4,29.3,12.4,7.2,6.2,38.2
11176,"maxima","AHY","M",46.2,82.5,78.1,29.4,12.6,7.3,5.3,40.4
11562,"maxima","AHY","M",44.4,82.6,80,22.4,18.6,7.7,5.3,38.9
11561,"maxima","AHY","M",47.1,83.1,74.4,26.5,13.9,7.5,5.6,39.7
11558,"maxima","AHY","M",49.1,83.1,82,27.8,12.8,7.5,6.3,39.8
11267,"maxima","AHY","M",47.1,83.3,77,26.9,13.2,7.7,5.9,40
11559,"maxima","AHY","M",47.2,83.4,82.4,27.9,12.5,7.3,5.4,38.5
11177,"maxima","AHY","M",47.7,83.7,81.3,26.3,12.3,7.3,6.1,39.3
36278,"maxima","AHY","M",47.5,84.4,79.5,29,12.9,7.8,5.4,40.1
11178,"maxima","AHY","M",47,85.7,80.6,29,13.2,5.7,5.7,40.1
11280,"maxima","AHY","M",50.5,86.2,74.7,29,13,7,6.1,39.1
11268,"maxima","AHY","M",49.6,89.9,81,26.8,13.4,7.3,5.4,40.5
36552,"maxima","AHY","M",49,85,77,26.3,13.5,8.2,6.2,39.6
8461,"maxima","AD","M",49.5,84.3,79.5,29.5,3.3,17.5,6.5,40.2
15319,"maxima","AHY","M",45.5,62.5,71.3,26.1,12.1,7.3,5.8,36
10942,"maxima","AHY","M",48,78.7,75.2,26.8,12.8,7.5,6.2,39.8
11048,"maxima","AD","M",46.5,80.5,82.5,27,13,12.4,6.6,32.3
13059,"maxima","AHY","M",49.7,80.7,73.5,27.9,13.2,7.3,6.2,39.8
10040,"maxima","AHY","M",48.7,80.7,77.8,28.7,11.2,7.6,6.8,38.6
15326,"maxima","AHY","M",46.3,81,77.8,25.6,12.4,8.1,6.1,39.7
11511,"maxima","AD","M",46.8,81.1,71.3,28.5,11.7,7.4,5.3,38.6
15340,"maxima","AHY","M",47.3,81.7,75.3,28,13.1,7.7,5.9,40
15312,"maxima","AHY","M",44,81,76,26.9,15,7.4,6.4,36.8
15307,"maxima","AD","M",45.1,82,85,27.5,12.7,7.8,4.6,36.2
10179,"maxima","AD","M",45.1,82.4,80.2,28.2,13.9,7.7,6.5,36.5
11229,"maxima","AD","M",42.1,82.5,78.7,27.5,13.1,7.3,6,38
15353,"maxima","AHY","M",48.2,82.7,77.4,26.5,7.8,7.3,5.3,39.8
14611,"maxima","AHY","M",48,82.8,80.7,28.3,12.4,7.8,5,39.1
15321,"maxima","AHY","M",49,83.2,78.2,26.4,12.1,7.2,5.8,38.1
15298,"maxima","AHY","M",47,83.5,70.4,26.8,12.7,7.8,5.7,39.5
15305,"maxima","AD","M",46,83.5,82,30.8,12.7,7.6,5.4,38.3
15367,"maxima","AD","M",48.2,84,81.9,30,11.9,7.4,4.8,38.9
10165,"maxima","AD","M",47.9,84.8,79.6,29.8,12.8,8.7,5.7,39
15339,"maxima","AHY","M",45.8,84.9,82.5,29.6,12.9,7.8,5.3,39.2
10041,"maxima","AHY","M",47.9,85.1,82.8,29.3,12.8,7.9,7.8,39
10946,"maxima","AHY","M",48.3,85.9,80.7,29.6,13.3,7.1,5.6,40.3
13186,"maxima","AD","M",48.7,86.5,88,29.2,12.1,7.8,5.7,38.6
15315,"maxima","AHY","M",51,86.8,77.1,26.6,13.2,7.4,6.4,39.9
15344,"maxima","AHY","M",49.8,87.6,79.3,30.6,12.8,7.4,5.8,39.6
10170,"maxima","AHY","M",47.2,85.6,77.3,28.4,13,7.4,5.7,39.6
11291,"maxima","AD","M",48.2,81.9,78.8,27.1,11.9,7.1,6,38.5
11295,"maxima","AD","M",47.6,82.3,77.8,26.3,12.3,7.2,5.5,38.6
11297,"maxima","AD","M",45.5,85.6,81.2,26.6,12.2,7.4,5.8,39
11294,"maxima","AD","M",50.1,86.1,79.2,28.2,12.9,7.4,6.1,40.1
11296,"maxima","AD","M",48.4,86.3,83.6,28.1,12.2,7.3,6.1,39.1
11289,"maxima","AD","M",48.6,87.5,87.3,27.9,13.1,7.8,6.3,39.7
13160,"maxima","AHY","M",49.4,87,80.3,22.5,12.9,7.4,9.3,38.7
15323,"maxima","AHY","M",41.9,77.6,74.3,24.5,11.5,7.5,6.2,36.8
8779,"maxima","AHY","M",49.5,85.2,79.4,24.9,12.5,7.4,7.5,39.1
15318,"maxima","AHY","M",46.8,79.8,71.6,21.3,11.4,7.1,6.4,32.7
27848,"maxima","AD","M",40,84,83,26.8,13.3,7.4,6.5,40.4
36621,"maxima","AHY","M",43.2,82.1,77.4,27.7,12.3,7.4,6.1,39.6
36623,"maxima","AHY","M",45.7,83.6,78.5,27.7,11.7,7.5,5.8,38.2
36618,"maxima","AHY","M",46,85.2,83.6,29.5,12.8,7.8,5.9,40
36622,"maxima","AHY","M",47.3,82.2,77,28.8,12.4,7.6,6,39.7
27852,"maxima","AD","M",50,81,81,28.1,12.6,7.4,5.9,40.7
38590,"maxima","AHY","M",44.5,84.1,82.7,27.6,12.9,7.2,5.6,38.7
