CATSFX,GENUS,SPECIES,SUBSPECIES,HYBRIDTYPE,AGE,SEX,DATE,COUNTRY,STATE,COUNTY,SPECLOC,COLLECTOR,CFIRSTNAME,COLLCATNUM,PREPARATOR,PFIRSTNAME,MASS,BODYCOND,REMARKS,DISPOS,AVAIL,SKINMEAS,EDWARDS,LATDEG,LATMIN,LONDEG,LONMIN
11182,Melospiza,melodia,caurina,,AHY,M,02 May 2000,USA,Alaska,Copper R Delta,Alaganik Slough,Spellman,Garth M,UAMX1106,Pruett,Christin L,28.6,fat:light;te:l:8.8x4.5;sk:100%oss.;molt:none;stom:invertebrates,hab:marshland,1230,,wch:71.8;tl:64.1;ts:24.1;bl:10.4;blh:6.1;blw:5.1;skl:36.0,Z65c050,,,,
11180,Melospiza,melodia,caurina,,AHY,M,02 May 2000,USA,Alaska,Copper R Delta,Alaganik Slough Rd.,Spellman,Garth M,UAMX1103,Pruett,Christin L,28.1,"fat:trace;te:l:9.8x7.3,r:10.3x8.3;sk:100%oss.;molt:none;stom:inve rtebrates",hab:marsh shrubs,1230,,wch:71.9;tl:66.6;ts:22.4;bl:11.3;blh:4.8;blw:4.5;skl:37.0,Z65c050,,,,
11233,Melospiza,melodia,caurina,,AD,F,02 May 2000,USA,Alaska,Copper R Delta,Alaganik Slough Road,Spellman,Garth M,UAMX1107,Braile,Thomas M,27.0,"OV:Identified, broken, largest follicle 1mm; FAT:Light; MOLT:None",,1230,,WCH:67.5; TL:57.0; TS:23.6; BL:11.7; BLH:6.5; BLW:6.2; SKL:35.3,Z65c050,,,,
11234,Melospiza,melodia,caurina,,JUV,M,19 Jul 2000,USA,Alaska,Copper R Delta,Alaganik Slough Road,Pruett,Christin L,CLP526,Braile,Thomas M,30.9,TE:Identified; FAT:Light; SK:Unossified; MOLT:General,Sibling of CLP519.,1230,,WCH:69.2; TL:64.6; TS:23.0; BL:10.8; BLH:6.4; BLW:6.2; SKL:32.9,Z65c050,,,,
11223,Melospiza,melodia,caurina,,AHY,M,13 May 1999,USA,Alaska,Copper R Delta,Alaganik Slough Road,Spellman,Garth M,CLP023,Johnson,Andrew B,27.6,TE:R=7.4X7.4; FAT:Light; SK:Ossified; MOLT:None,Singing.  HAB:Boggy thicket.,1230,,WCH:71.0; TL:82.5; TS:24.0; BL:10.2; BLH:5.9; BLW:4.6; SKL:39.9,Z65c050,,,,
11103,Melospiza,melodia,caurina,,AHY,M,03 May 2000,USA,Alaska,Copper R Delta,Alaganik Slough Road,Spellman,Garth M,UAMX1122,Pruett,Christin L,27.6,TE:L=7.6X5.6; FAT:None; SK:100% ossified; MOLT:None; STOM:Insects,HAB:marshland,1230,,WCH:71.6; TL:63.7; TS:26.0; BL:11.0; BLH:6.4; BLW:4.9; SKL:36.0,Z65c050,,,,
11101,Melospiza,melodia,caurina,,AHY,M,02 May 2000,USA,Alaska,Copper R Delta,Alaganik Slough Road,Spellman,Garth M,UAMX1102,Pruett,Christin L,27.6,TE:L=9.4X7.5; FAT:None; SK:100% ossified; MOLT:None; STOM:Insects,"HAB:marsh, shrubs",1230,,WCH:71.8; TL:65.5; TS:22.5; BL:11.6; BLH:6.4; BLW:5.2; SKL:36.3,Z65c050,,,,
11231,Melospiza,melodia,caurina,,AD,M,14 May 1999,USA,Alaska,Copper R Delta,Alaganik Slough Road,Spellman,Garth M,CLP026,Braile,Thomas M,29.1,"TE:L=9X6, R=8X5; FAT:Light; SK:Ossified; MOLT:None",Singing.,1230,,WCH:72.6; TL:67.2; TS:24.3; BL:11.9; BLH:6.1; BLW:5.6; SKL:33.9,Z65c050,,,,
11104,Melospiza,melodia,caurina,,AHY,M,03 May 2000,USA,Alaska,Copper R Delta,Alaganik Slough Road,Spellman,Garth M,UAMX1121,Pruett,Christin L,27.6,TE:L=6.7X5.2; FAT:None; SK:100% ossified; MOLT:None; STOM:Insects,HAB:marshland,1230,,WCH:72.9; TL:68.9; TS:25.8; BL:10.3; BLH:6.5; BLW:5.7; SKL:35.8,Z65c050,,,,
11141,Melospiza,melodia,caurina,,AHY,M,04 May 2000,USA,Alaska,Copper R Delta,Hartney Bay,Spellman,Garth M,UAMX1141,Pruett,Christin L,32.6,TE:R=7.1X6.5; FAT:Trace; SK:100% ossified; MOLT:None; STOM: invertebrates and vegetation.,Singing male.  HAB:edge of tidal flat.,1230,,WCH:74.8; TL:66.6; TS:27.3; BL:11.2; BLH:6.4; BLW:5.2; SKL:37.3,Z65c050,,,,
11181,Melospiza,melodia,caurina,,AHY,F,02 May 2000,USA,Alaska,Copper R Delta,near Cordova,Spellman,Garth M,UAMX1105,Spellman,Garth M,29.0,fat:light body;ov:10.2x7.8;sk:100%oss.;molt:none;stom:insects and vegetation,,1230,,wch:70.0;tl:66.8;ts:19.7;bl:10.9;blh:5.5;blw:4.6;skl:35.4,Z65c050,,,,
11583,Melospiza,melodia,caurina,,AHY,F,12 May 1999,USA,Alaska,Copper River Delt,6026N 14518W,Spellman,Garth M,CLP016,Pruett,Christin L,23.4,"OV:6.6X4.9, largest follicle 2.7; FAT:Moderate; SK:--; MOLT:None; STOM:Insects",Skull badly shot-damaged. Boggy thicket. Skin/skel/tiss2/stomk,1230,,WCH:66.6; TL:54.3; TS:21.5; BL:11.2; BLH:6.2; BLW:4.8; SKL:33.4,Z65c050,,,,
11331,Melospiza,melodia,caurina,,HY,F,20 Jul 2000,USA,Alaska,Copper River Delt,Alaganik Slough,Pruett,Christin L,CLP528,Pruett,Christin L,24.0,"fat:none;ov:oviduct seen;sk:unoss.;molt:moderate body, primaries, rectrices;stom:insects and seeds",hab:slough,1220,,wch:64.6;tl:48.5;ts:22.9;bl:8.0;blh:5.4;blw:4.7;skl:32.8,Z65c050,,,,
11329,Melospiza,melodia,caurina,,HY,F?,19 Jul 2000,USA,Alaska,Copper River Delt,Alaganik Slough,Pruett,Christin L,CLP521,Pruett,Christin L,26.6,"fat:very lt;ov:oviduct seem?;sk:unoss.;molt:total body, primaries, rectrices;stom:insects",hab:slough,1220,,wch:65.2;tl:45.2;ts:24.6;bl:8.1;blh:5.8;blw:4.5;skl:32.8,Z65c050,,,,
11273,Melospiza,melodia,caurina,,HY,F,19 Jul 2000,USA,Alaska,Copper River Delt,Alaganik Slough,Pruett,Christin L,CLP520,Pruett,Christin L,23.3,fat:very light;ov:oviduct seen;sk:unoss.;molt:heavy body molt;stom:insects,hab:slough,1220,,wch:65.8;tl:67.3;ts:22.6;bl:8.8;blh:6.1;blw:4.5;skl:32.4,Z65c050,,,,
11248,Melospiza,melodia,caurina,,JUV,M,19 Jul 2000,USA,Alaska,Copper River Delt,Alaganik Slough,Pruett,Christin L,CLP524,Johnson,Andrew B,,TE:0.5X0.5; FAT:Light; SK:Unossified; MOLT:None,,1030,,,Z65c050,,,,
11210,Melospiza,melodia,caurina,,JUV,M,19 Jul 2000,USA,Alaska,Copper River Delt,Alaganik Slough,Pruett,Christin L,CLP519,Johnson,Andrew B,29.0,"TE:1.6X1.0; FAT:Light; SK:Unossified; MOLT:Wing, tail, body",short-tailed fledgling.,1030,,,Z65c050,,,,
11361,Melospiza,melodia,caurina,,AHY,M,13 May 1999,USA,Alaska,Copper River Delt,Alaganik Slough Rd,Pruett,Christin L,CLP022,Pruett,Christin L,31.0,fat:very light;te:l:8.4x6.0;sk:100%oss.;molt:none;stom:insects,hab:boggy thicket; singing,1230,,wch:74.9;tl:66.1;ts:23.3;bl:10.7;blh:6.7;blw:5.5;skl:37.0,Z65c050,,,,
11388,Melospiza,melodia,caurina,,AHY,F,12 May 1999,USA,Alaska,Copper River Delt,Copper River Delta,Spellman,Garth M,CLP017,Pruett,Christin L,28.6,"fat:light;ov:4.5x5.7, largest follicle<0.5;sk:100%oss.;molt:none;stom:insects",hab:boggy thicket; singing?,1230,,wch:68.9;tl:66.5;ts:22.0;bl:10.4;blh:6.1;blw:5.7;skl:34.1,Z65c050,,,,
