"CATSFX","GENUS","SPECIES","SUBSPECIES","AGE","SEX","DATE","COUNTRY","STATE","COUNTY","SPECLOC","COLLCATNUM"
27914,"Melospiza","melodia","maxima","AD","M","02 Jun 2009","USA","Alaska","Aleutian Islands","Adak I., near old LORAN station","JJW249"
27919,"Melospiza","melodia","maxima","AD","M","12 Jun 2009","USA","Alaska","Aleutian Islands","Adak I., Shagak Bay","JJW348"
10188,"Melospiza","melodia","maxima","AHY","M","21 May 1999","USA","Alaska","Aleutian Islands","Adak Island","KSW2985"
10186,"Melospiza","melodia","maxima","AHY","M","23 May 1999","USA","Alaska","Aleutian Islands","Adak Island","KSW3012"
11175,"Melospiza","melodia","maxima","AHY","M","22 May 1999","USA","Alaska","Aleutian Islands","Adak Island","KSW2990"
11827,"Melospiza","melodia","maxima","AD","M","17 May 1999","USA","Alaska","Aleutian Islands","Adak Island","KSW2959"
11176,"Melospiza","melodia","maxima","AHY","M","24 May 1998","USA","Alaska","Aleutian Islands","Adak Island","CLP532"
11562,"Melospiza","melodia","maxima","AHY","M","23 May 1999","USA","Alaska","Aleutian Islands","Adak Island","TMB251"
11561,"Melospiza","melodia","maxima","AHY","M","23 May 1999","USA","Alaska","Aleutian Islands","Adak Island","TMB250"
11558,"Melospiza","melodia","maxima","AHY","M","23 May 1999","USA","Alaska","Aleutian Islands","Adak Island","TMB254"
11267,"Melospiza","melodia","maxima","AHY","M","24 May 1998","USA","Alaska","Aleutian Islands","Adak Island","CLP534"
11559,"Melospiza","melodia","maxima","AHY","M","23 May 1999","USA","Alaska","Aleutian Islands","Adak Island","TMB242"
11177,"Melospiza","melodia","maxima","AHY","M","24 May 1998","USA","Alaska","Aleutian Islands","Adak Island","CLP531"
36278,"Melospiza","melodia","maxima","AHY","M","27 May 2000","USA","Alaska","Aleutian Islands","Adak Island","CLP456"
11178,"Melospiza","melodia","maxima","AHY","M","21 May 1998","USA","Alaska","Aleutian Islands","Adak Island","CLP533"
11280,"Melospiza","melodia","maxima","AHY","M","23 May 1998","USA","Alaska","Aleutian Islands","Adak Island","ABJ078"
11268,"Melospiza","melodia","maxima","AHY","M","24 May 1998","USA","Alaska","Aleutian Islands","Adak Island","CLP535"
36552,"Melospiza","melodia","maxima","AHY","M","09 Jun 2005","USA","Alaska","Aleutian Islands","Agattu Island, Karab Cove","UAMX3401"
8461,"Melospiza","melodia","maxima","AD","M","21 May 1998","USA","Alaska","Aleutian Islands","Andreanof Island, Adak Island","UAMX481"
15319,"Melospiza","melodia","maxima","AHY","M","22 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP443"
10942,"Melospiza","melodia","maxima","AHY","M","16 Jun 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP092"
11048,"Melospiza","melodia","maxima","AD","M","22 May 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","KSW2992"
13059,"Melospiza","melodia","maxima","AHY","M","21 Jun 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP123"
10040,"Melospiza","melodia","maxima","AHY","M","21 May 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","KSW2984"
15326,"Melospiza","melodia","maxima","AHY","M","21 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP431"
11511,"Melospiza","melodia","maxima","AD","M","22 May 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","KSW2991"
15340,"Melospiza","melodia","maxima","AHY","M","26 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP461"
15312,"Melospiza","melodia","maxima","AHY","M","22 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island",""
15307,"Melospiza","melodia","maxima","AD","M","21 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP430"
10179,"Melospiza","melodia","maxima","AD","M","24 May 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","KSW3014"
11229,"Melospiza","melodia","maxima","AD","M","15 Jun 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP069"
15353,"Melospiza","melodia","maxima","AHY","M","25 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP457"
14611,"Melospiza","melodia","maxima","AHY","M","18 Jun 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP114"
15321,"Melospiza","melodia","maxima","AHY","M","22 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP446"
15298,"Melospiza","melodia","maxima","AHY","M","21 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP432"
15305,"Melospiza","melodia","maxima","AD","M","21 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP434"
15367,"Melospiza","melodia","maxima","AD","M","27 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP466"
10165,"Melospiza","melodia","maxima","AD","M","23 May 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","KSW3010"
15339,"Melospiza","melodia","maxima","AHY","M","27 May 2000","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP467"
10041,"Melospiza","melodia","maxima","AHY","M","21 May 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","KSW2986"
10946,"Melospiza","melodia","maxima","AHY","M","17 Jun 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","CLP108"
13186,"Melospiza","melodia","maxima","AD","M","22 May 1999","USA","Alaska","Aleutian Islands","Andreanof Islands, Adak Island","KSW2997"
