CATSFX,GENUS,SPECIES,SUBSPECIES,AGE,SEX,DATE,COUNTRY,STATE,COUNTY,SPECLOC,COLLCATNUM,MASS,WCH,TL,TS,BL,BLH,BLW,SKL
27914,Melospiza,melodia,maxima,AD,M,2-Jun-09,USA,Alaska,Aleutian Islands,"Adak I., near old LORAN station",JJW249,45,81,83,28,11.9,7.4,5.6,38.5
27919,Melospiza,melodia,maxima,AD,M,12-Jun-09,USA,Alaska,Aleutian Islands,"Adak I., Shagak Bay",JJW348,48,83.1,73,29.1,11.8,6.8,6.1,38.9
10188,Melospiza,melodia,maxima,AHY,M,21-May-99,USA,Alaska,Aleutian Islands,Adak Island,KSW2985,50.2,81.6,81,28.6,12.3,7.9,6.5,38.7
10186,Melospiza,melodia,maxima,AHY,M,23-May-99,USA,Alaska,Aleutian Islands,Adak Island,KSW3012,44.8,83.9,82.9,28.3,12.6,7.1,6.6,39.2
11175,Melospiza,melodia,maxima,AHY,M,22-May-99,USA,Alaska,Aleutian Islands,Adak Island,KSW2990,45.4,76.3,75.3,27.2,12.5,7.1,5.8,39.7
11827,Melospiza,melodia,maxima,AD,M,17-May-99,USA,Alaska,Aleutian Islands,Adak Island,KSW2959,50,81.5,84.4,29.3,12.4,7.2,6.2,38.2
11176,Melospiza,melodia,maxima,AHY,M,24-May-98,USA,Alaska,Aleutian Islands,Adak Island,CLP532,46.2,82.5,78.1,29.4,12.6,7.3,5.3,40.4
11562,Melospiza,melodia,maxima,AHY,M,23-May-99,USA,Alaska,Aleutian Islands,Adak Island,TMB251,44.4,82.6,80,22.4,18.6,7.7,5.3,38.9
11561,Melospiza,melodia,maxima,AHY,M,23-May-99,USA,Alaska,Aleutian Islands,Adak Island,TMB250,47.1,83.1,74.4,26.5,13.9,7.5,5.6,39.7
11558,Melospiza,melodia,maxima,AHY,M,23-May-99,USA,Alaska,Aleutian Islands,Adak Island,TMB254,49.1,83.1,82,27.8,12.8,7.5,6.3,39.8
11267,Melospiza,melodia,maxima,AHY,M,24-May-98,USA,Alaska,Aleutian Islands,Adak Island,CLP534,47.1,83.3,77,26.9,13.2,7.7,5.9,40
11559,Melospiza,melodia,maxima,AHY,M,23-May-99,USA,Alaska,Aleutian Islands,Adak Island,TMB242,47.2,83.4,82.4,27.9,12.5,7.3,5.4,38.5
11177,Melospiza,melodia,maxima,AHY,M,24-May-98,USA,Alaska,Aleutian Islands,Adak Island,CLP531,47.7,83.7,81.3,26.3,12.3,7.3,6.1,39.3
36278,Melospiza,melodia,maxima,AHY,M,27-May-00,USA,Alaska,Aleutian Islands,Adak Island,CLP456,47.5,84.4,79.5,29,12.9,7.8,5.4,40.1
11178,Melospiza,melodia,maxima,AHY,M,21-May-98,USA,Alaska,Aleutian Islands,Adak Island,CLP533,47,85.7,80.6,29,13.2,5.7,5.7,40.1
11280,Melospiza,melodia,maxima,AHY,M,23-May-98,USA,Alaska,Aleutian Islands,Adak Island,ABJ078,50.5,86.2,74.7,29,13,7,6.1,39.1
